arc.mojom.AppHost.OnInstallShortcut	ran 146 arc.mojom.AppHost.OnInstallShortcut address=1617198704 chpt=1 tpt=146 ept=1
arc.mojom.AppHost.OnInstallationActiveChanged	ran 147 arc.mojom.AppHost.OnInstallationActiveChanged address=1118908615 chpt=1 tpt=147 ept=1
arc.mojom.AppHost.OnInstallationFinished	ran 148 arc.mojom.AppHost.OnInstallationFinished address=556442203 chpt=1 tpt=148 ept=1
arc.mojom.AppHost.OnInstallationProgressChanged	ran 149 arc.mojom.AppHost.OnInstallationProgressChanged address=747395058 chpt=1 tpt=149 ept=1
arc.mojom.AppHost.OnInstallationStarted	ran 150 arc.mojom.AppHost.OnInstallationStarted address=518000669 chpt=1 tpt=150 ept=1
arc.mojom.AppHost.OnNotificationsEnabledChanged	ran 151 arc.mojom.AppHost.OnNotificationsEnabledChanged address=1469591100 chpt=1 tpt=151 ept=1
arc.mojom.AppHost.OnPackageAdded	ran 152 arc.mojom.AppHost.OnPackageAdded address=171410205 chpt=1 tpt=152 ept=1
arc.mojom.AppHost.OnPackageAppListRefreshed	ran 153 arc.mojom.AppHost.OnPackageAppListRefreshed address=196761869 chpt=1 tpt=153 ept=1
arc.mojom.AppHost.OnPackageListRefreshed	ran 154 arc.mojom.AppHost.OnPackageListRefreshed address=194461218 chpt=1 tpt=154 ept=1
arc.mojom.AppHost.OnPackageModified	ran 155 arc.mojom.AppHost.OnPackageModified address=786511572 chpt=1 tpt=155 ept=1
arc.mojom.AppHost.OnPackageRemoved	ran 156 arc.mojom.AppHost.OnPackageRemoved address=63429743 chpt=1 tpt=156 ept=1
arc.mojom.AppHost.OnTaskCreated	ran 157 arc.mojom.AppHost.OnTaskCreated address=1918697587 chpt=1 tpt=157 ept=1
arc.mojom.AppHost.OnTaskDescriptionChanged	ran 158 arc.mojom.AppHost.OnTaskDescriptionChanged address=1076416493 chpt=1 tpt=158 ept=1
arc.mojom.AppHost.OnTaskDescriptionUpdated	ran 159 arc.mojom.AppHost.OnTaskDescriptionUpdated address=674772380 chpt=1 tpt=159 ept=1
arc.mojom.AppHost.OnTaskDestroyed	ran 160 arc.mojom.AppHost.OnTaskDestroyed address=1477370372 chpt=1 tpt=160 ept=1
arc.mojom.AppHost.OnTaskSetActive	ran 161 arc.mojom.AppHost.OnTaskSetActive address=1740022311 chpt=1 tpt=161 ept=1
arc.mojom.AppHost.OnUninstallShortcut	ran 162 arc.mojom.AppHost.OnUninstallShortcut address=861216466 chpt=1 tpt=162 ept=1
arc.mojom.AppInstance.CloseTask	ran 163 arc.mojom.AppInstance.CloseTask address=186767933 chpt=1 tpt=163 ept=1
arc.mojom.AppInstance.GetAndroidId	ran 164 arc.mojom.AppInstance.GetAndroidId address=2039316351 chpt=1 tpt=164 ept=1
arc.mojom.AppInstance.GetAppCategory	ran 165 arc.mojom.AppInstance.GetAppCategory address=977366884 chpt=1 tpt=165 ept=1
arc.mojom.AppInstance.GetAppIcon	ran 166 arc.mojom.AppInstance.GetAppIcon address=385830833 chpt=1 tpt=166 ept=1
arc.mojom.AppInstance.GetAppShortcutGlobalQueryItems	ran 167 arc.mojom.AppInstance.GetAppShortcutGlobalQueryItems address=1079069017 chpt=1 tpt=167 ept=1
arc.mojom.AppInstance.GetAppShortcutIcon	ran 168 arc.mojom.AppInstance.GetAppShortcutIcon address=104003646 chpt=1 tpt=168 ept=1
arc.mojom.AppInstance.GetAppShortcutItems	ran 169 arc.mojom.AppInstance.GetAppShortcutItems address=1304261452 chpt=1 tpt=169 ept=1
arc.mojom.AppInstance.GetPackageIcon	ran 170 arc.mojom.AppInstance.GetPackageIcon address=1478932027 chpt=1 tpt=170 ept=1
